antecedents_str,consequents_str,support,confidence,lift
"SCTP Link Fault, UMTS Cell Unavailable","Adjacent Node IP Address Ping Failure, NodeB Unavailable",0.012176163903411965,0.9514396218306832,76.10010296065441
"Adjacent Node IP Address Ping Failure, NodeB Unavailable","SCTP Link Fault, UMTS Cell Unavailable",0.012176163903411965,0.9739002932551319,76.10010296065441
"Adjacent Node IP Address Ping Failure, UMTS Cell Unavailable","NodeB Unavailable, SCTP Link Fault",0.012176163903411965,0.9783473265576668,71.80848221994009
"NodeB Unavailable, SCTP Link Fault","Adjacent Node IP Address Ping Failure, UMTS Cell Unavailable",0.012176163903411965,0.8937029063509149,71.80848221994009
NodeB Unavailable,"Adjacent Node IP Address Ping Failure, SCTP Link Fault, UMTS Cell Unavailable",0.012176163903411965,0.8337936228973136,67.99637478569313
"Adjacent Node IP Address Ping Failure, SCTP Link Fault, UMTS Cell Unavailable",NodeB Unavailable,0.012176163903411965,0.9929735386455374,67.99637478569313
NodeB Unavailable,"SCTP Link Fault, UMTS Cell Unavailable",0.012689461990276667,0.8689430077830781,67.89879088978753
"SCTP Link Fault, UMTS Cell Unavailable",NodeB Unavailable,0.012689461990276667,0.9915484887551925,67.89879088978753
NodeB Unavailable,"Adjacent Node IP Address Ping Failure, UMTS Cell Unavailable",0.012300822010221965,0.8423299020838565,67.68069273052394
"Adjacent Node IP Address Ping Failure, UMTS Cell Unavailable",NodeB Unavailable,0.012300822010221965,0.9883635292384739,67.68069273052393
"Adjacent Node IP Address Ping Failure, NodeB Unavailable, SCTP Link Fault",UMTS Cell Unavailable,0.012176163903411965,0.9850215037816995,66.59082291992648
UMTS Cell Unavailable,"Adjacent Node IP Address Ping Failure, NodeB Unavailable, SCTP Link Fault",0.012176163903411965,0.8231503284173999,66.59082291992648
UMTS Cell Unavailable,"Adjacent Node IP Address Ping Failure, NodeB Unavailable",0.012300822010221965,0.8315776428305862,66.513042748232
"Adjacent Node IP Address Ping Failure, NodeB Unavailable",UMTS Cell Unavailable,0.012300822010221965,0.9838709677419356,66.513042748232
"NodeB Unavailable, UMTS Cell Unavailable","Adjacent Node IP Address Ping Failure, SCTP Link Fault",0.012176163903411965,0.8976888768752533,65.30836233988207
"Adjacent Node IP Address Ping Failure, SCTP Link Fault","NodeB Unavailable, UMTS Cell Unavailable",0.012176163903411965,0.8858362229927981,65.30836233988207
UMTS Cell Unavailable,"NodeB Unavailable, SCTP Link Fault",0.012689461990276667,0.8578510348246374,62.96432678801952
"NodeB Unavailable, SCTP Link Fault",UMTS Cell Unavailable,0.012689461990276667,0.931377825618945,62.96432678801952
UMTS Cell Unavailable,NodeB Unavailable,0.01356390194539975,0.916966166811253,62.79157773866483
NodeB Unavailable,UMTS Cell Unavailable,0.01356390194539975,0.9288224956063269,62.79157773866482
"Adjacent Node IP Address Ping Failure, SCTP Link Fault",NodeB Unavailable,0.012361317856173877,0.899306481728461,61.58228613244058
NodeB Unavailable,"Adjacent Node IP Address Ping Failure, SCTP Link Fault",0.012361317856173877,0.8464725081596787,61.58228613244058
"NodeB Unavailable, SCTP Link Fault, UMTS Cell Unavailable",Adjacent Node IP Address Ping Failure,0.012176163903411965,0.9595492632187229,61.391795295766784
Adjacent Node IP Address Ping Failure,"NodeB Unavailable, SCTP Link Fault, UMTS Cell Unavailable",0.012176163903411965,0.7790288529204785,61.391795295766784
Adjacent Node IP Address Ping Failure,"SCTP Link Fault, UMTS Cell Unavailable",0.012262324653707113,0.7845414027680038,61.30368985513879
"SCTP Link Fault, UMTS Cell Unavailable",Adjacent Node IP Address Ping Failure,0.012262324653707113,0.9581721816358688,61.30368985513879
UMTS Cell Unavailable,"Adjacent Node IP Address Ping Failure, SCTP Link Fault",0.012262324653707113,0.8289750898500434,60.30931978027206
"Adjacent Node IP Address Ping Failure, SCTP Link Fault",UMTS Cell Unavailable,0.012262324653707113,0.8921045612163244,60.309319780272055
Adjacent Node IP Address Ping Failure,"NodeB Unavailable, SCTP Link Fault",0.012361317856173877,0.7908749706779263,58.04843507871951
"NodeB Unavailable, SCTP Link Fault",Adjacent Node IP Address Ping Failure,0.012361317856173877,0.9072927879440258,58.04843507871951
"NodeB Unavailable, UMTS Cell Unavailable",Adjacent Node IP Address Ping Failure,0.012300822010221965,0.9068793080145966,58.021980704609234
Adjacent Node IP Address Ping Failure,"NodeB Unavailable, UMTS Cell Unavailable",0.012300822010221965,0.7870044569551958,58.02198070460923
