,3G CS Call Drop Rate,3G PS Call Setup Success Rate,ALD Maintenance Link Failure,Adjacent Node IP Address Ping Failure,Adjacent Node IP Path Ping Failure,Air Cond. Alarm,Cell Blocked,Cell Outage,Cell PCI Conflict,Cell RX Channel Interference Noise Power Unbalanced,Cell Unavailable,Commercial Power Down (Main Power Down),Core CPU Overload,Data Configuration Exceeding Licensed Limit,E1/T1 Excessive Bit Error Rate,External Clock Reference Problem,GSM Cell out of Service,GTPC Tunnel Path Broken,GTPU Tunnel Path Broken,High Temperature (35Â°),IP PM Activation Failure,KPI Decrease Exceeding Threshold,Local Cell Unusable,NE Is Disconnected,NodeB Unavailable,Parallel Alarm Exceeds the Limit,Path Fault,RF Unit Maintenance Link Failure,RF Unit RX Channel RTWP/RSSI Unbalanced,RF Unit VSWR Threshold Crossed,S1ap Link Down,SCTP Link Fault,SDH/SONET LP Trace Identifier Mismatch,SDH/SONET Tributary Excessive Slip Frames,Statistical Alarm,The Data Transmission Channel Between the Trace Server and the NE Is Disrupted,UMTS Cell MC-HSDPA Function Fault,UMTS Cell Unavailable,User Plane Fault,X2 Interface Fault
3G CS Call Drop Rate,1.0,0.5590916360147129,0.0,0.012753433616742969,0.1173008486175746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013804173354735152,0.0,0.0005125576627370579,0.0,0.0,0.0,0.0,0.00016267312614538402,0.0,0.0,0.008222515480661862,0.0,0.00837413037876836,0.015144732915547597,0.0,0.0
3G PS Call Setup Success Rate,0.5590916360147129,1.0,0.0,0.013805711403895858,0.10396975425330812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015194536106208273,0.0,0.0005952380952380953,0.0,0.0,0.0,0.0,0.00018207146516718817,0.0,0.0,0.009201571935205597,0.0,0.009109023626530032,0.0164591383998855,0.0,0.0
ALD Maintenance Link Failure,0.0,0.0,1.0,0.0,0.0,0.00010994447803859051,0.007582000988956651,0.0,0.004620052406564612,0.00023066277102875595,0.01947188449848024,0.0,0.0,0.0058490808587222005,0.0,0.0021410077673770164,6.687174000267486e-05,0.0,0.0,0.0,0.0003266906239790918,0.0,0.018224699828473412,0.0,0.0,0.0,0.0,0.01685626505023665,0.00013528138528138528,0.010072225224782587,0.0,0.00018561319735259642,0.0,0.0,0.0,0.0,0.0,0.0,0.0001831092572591958,0.00036321878459698575
Adjacent Node IP Address Ping Failure,0.012753433616742969,0.013805711403895858,0.0,1.0,0.0365391490883089,0.0052062313342481235,0.0,0.0,0.0,0.0,0.0,0.012602476888191175,0.0,0.0,0.0,0.001770289005012264,0.07859631657541065,0.0,0.0,0.006859592711682743,0.021645710647779724,0.0,0.0,0.0,0.561547962124331,0.0,0.005117634515601677,0.0038119440914866584,0.001981518902905574,0.0018222566658986658,0.0,0.006357965857943811,0.0,0.0,0.03717638056370361,0.0,0.054369747899159666,0.516234506881606,0.0,0.0
Adjacent Node IP Path Ping Failure,0.1173008486175746,0.10396975425330812,0.0,0.0365391490883089,1.0,0.00011374623215605983,0.0,0.0,0.0,0.0,0.0,0.0007553345502612199,0.0,0.0,0.0,0.00017659375867201492,0.0022354173943415997,0.0,0.0,0.0003356831151393085,0.006936838262139467,0.0,0.0,0.0,0.01863517060367454,0.0,0.0013215859030837004,0.0005158184319119669,4.571637560574198e-05,9.875567845151097e-05,0.0,0.00019673487939812694,0.0,0.0,0.019958941605839418,0.0,0.02560719843041743,0.019059925698594736,0.0,0.0
Air Cond. Alarm,0.0,0.0,0.00010994447803859051,0.0052062313342481235,0.00011374623215605983,1.0,0.00013620266957232362,0.0,0.0,2.7917364600781685e-05,0.0003897116134060795,0.15561997628146002,0.0,0.00011788282447247436,0.016363008375787927,0.004615971260561543,0.023650045480856693,0.0,0.0,0.04142938022446465,0.0,0.0,0.0005183764449743403,0.0,0.001908050154461203,0.0,0.0004645221228661015,0.007263590680676108,0.0031300933471625427,0.0023425196850393702,0.0,0.00018576517600620002,0.01231329300283741,0.03508656873032529,0.006448257930317213,0.0,0.0027573981978433206,0.0020450787572883124,0.00016966406515100103,0.00017020691852085503
Cell Blocked,0.0,0.0,0.007582000988956651,0.0,0.0,0.00013620266957232362,1.0,0.0,0.05003423094477408,6.699718611818304e-05,0.012017227007502084,0.0,0.0,0.10829873158523406,0.0,0.02010596700677911,0.0,0.0,0.0,0.0,0.0006027727546714888,0.0,0.044575009792401095,0.0,0.0,0.0,0.0,0.030039070005764428,0.00010375811907281745,0.001693555575363223,0.0,0.001408316085338034,0.0,0.0,0.0,0.0,0.0,0.0,0.0010421443161448998,0.0026783851944555057
Cell Outage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46298083551633806,0.0,0.22829154906192928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453367145674838,0.0,0.0,0.0,0.0
Cell PCI Conflict,0.0,0.0,0.004620052406564612,0.0,0.0,0.0,0.05003423094477408,0.0,1.0,3.105975897627034e-05,0.008467501490757305,0.0,0.0,0.049019607843137254,0.0,0.02948806066115336,0.0,0.0,0.0,0.0,0.0,0.0,0.015612853070743716,0.0,0.0,0.0,0.0,0.00584124904465553,3.957653111704759e-05,0.002437473505722764,0.0,0.0030973915278773695,0.0,0.0,0.0,0.0,0.0,0.0,0.0015283318557919622,0.006740244507744009
Cell RX Channel Interference Noise Power Unbalanced,0.0,0.0,0.00023066277102875595,0.0,0.0,2.7917364600781685e-05,6.699718611818304e-05,0.0,3.105975897627034e-05,1.0,0.0005997742026531189,0.0,0.0,6.010518407212622e-05,0.0,6.911088842047065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00040567951318458417,0.0,0.0,0.0,0.0,0.00046885465505693236,0.0045050884812342,0.001329560563188218,0.0,0.00047529509644146813,0.0,0.0,0.0,0.0,0.0,0.0,0.0005711764421449639,0.0006158053622911046
Cell Unavailable,0.0,0.0,0.01947188449848024,0.0,0.0,0.0003897116134060795,0.012017227007502084,0.0,0.008467501490757305,0.0005997742026531189,1.0,0.0,0.0,0.016956816640289397,0.0,0.004077880445031114,0.0,0.0,0.0,0.0,0.0023677045104770924,0.0,0.1907683024939662,0.0,0.0,0.0,0.0,0.23572759613755717,0.000385579332947754,0.0059720839795375106,0.0,0.0007185257780643982,0.0,0.0,0.0,0.0,0.0,0.0,0.001018218056503365,0.001157652685216522
