,degree_centrality,betweenness_centrality,pagerank,community
NodeB Unavailable,0.15384615384615385,0.02294197031039136,0.06512624176479832,0
UMTS Cell Unavailable,0.15384615384615385,0.0,0.06412285019919915,0
Adjacent Node IP Address Ping Failure,0.1794871794871795,0.004048582995951417,0.05788126648441407,0
GSM Cell out of Service,0.28205128205128205,0.25506072874493924,0.04362054047418023,0
RF Unit Maintenance Link Failure,0.10256410256410256,0.13765182186234817,0.04308413420571079,1
Local Cell Unusable,0.07692307692307693,0.005398110661268556,0.037211311785085,1
The Data Transmission Channel Between the Trace Server and the NE Is Disrupted,0.07692307692307693,0.0,0.03362551788228301,4
NE Is Disconnected,0.07692307692307693,0.0,0.03324381342519401,4
3G CS Call Drop Rate,0.05128205128205128,0.0,0.03322443424307129,5
Cell Blocked,0.1282051282051282,0.10526315789473684,0.03296054854265608,1
3G PS Call Setup Success Rate,0.05128205128205128,0.0,0.03257472198902328,5
Commercial Power Down (Main Power Down),0.1282051282051282,0.001349527665317139,0.03200395934595022,2
Cell Unavailable,0.05128205128205128,0.0,0.030584052703607152,1
S1ap Link Down,0.07692307692307693,0.0,0.03016332209604809,3
X2 Interface Fault,0.05128205128205128,0.0,0.02990719627095016,6
Core CPU Overload,0.07692307692307693,0.0,0.028594137136981394,3
GTPU Tunnel Path Broken,0.07692307692307693,0.0,0.02808663473881825,3
Air Cond. Alarm,0.10256410256410256,0.02564102564102564,0.028061587051442197,2
User Plane Fault,0.05128205128205128,0.0,0.027403313923070095,6
SCTP Link Fault,0.05128205128205128,0.0,0.02660557372206363,6
Cell Outage,0.07692307692307693,0.0,0.02543468175803719,4
GTPC Tunnel Path Broken,0.07692307692307693,0.0,0.025044017916264143,3
SDH/SONET Tributary Excessive Slip Frames,0.1282051282051282,0.0,0.023925733041290708,2
Data Configuration Exceeding Licensed Limit,0.05128205128205128,0.0,0.02305065431330884,1
Cell PCI Conflict,0.07692307692307693,0.029689608636977057,0.0211738659931448,1
Parallel Alarm Exceeds the Limit,0.07692307692307693,0.001349527665317139,0.019584098822597595,4
High Temperature (35Â°),0.07692307692307693,0.0,0.017168037547436846,2
Adjacent Node IP Path Ping Failure,0.10256410256410256,0.058029689608636977,0.0161554943549506,5
UMTS Cell MC-HSDPA Function Fault,0.1282051282051282,0.0728744939271255,0.013135263642716541,0
E1/T1 Excessive Bit Error Rate,0.07692307692307693,0.026990553306342778,0.012490901440581244,2
Statistical Alarm,0.1282051282051282,0.16194331983805668,0.012342845544530946,0
External Clock Reference Problem,0.05128205128205128,0.05668016194331984,0.010550975312267962,1
Path Fault,0.02564102564102564,0.0,0.0075847942268113845,0
IP PM Activation Failure,0.07692307692307693,0.004048582995951417,0.006815537540141399,0
SDH/SONET LP Trace Identifier Mismatch,0.02564102564102564,0.0,0.006478919582352253,0
ALD Maintenance Link Failure,0.0,0.0,0.004195804195804197,7
KPI Decrease Exceeding Threshold,0.0,0.0,0.004195804195804197,9
Cell RX Channel Interference Noise Power Unbalanced,0.0,0.0,0.004195804195804197,8
RF Unit RX Channel RTWP/RSSI Unbalanced,0.0,0.0,0.004195804195804197,10
RF Unit VSWR Threshold Crossed,0.0,0.0,0.004195804195804197,11
