alarm,hs_category,frequency,precursor_score,jaccard_score,lift_score,pagerank_score,composite_score
Adjacent Node IP Address Ping Failure,3G cell down,0.276,0.9780141843971631,0.7039104675992284,0.0,0.8810943172338047,0.6641519148637817
SCTP Link Fault,3G cell down,0.2822,1.0,0.21943065592543798,0.0,0.36779268983394287,0.4990550346601791
Adjacent Node IP Address Ping Failure,LOSS-OF-ALL CHANNEL,0.0752,0.2659574468085106,0.7039104675992284,0.0,0.8810943172338047,0.37932921982832063
The Data Transmission Channel Between the Trace Server and the NE Is Disrupted,Pas De Supervision,0.065,0.22978723404255316,1.0,0.0,0.48300512618433683,0.3643656625446718
Adjacent Node IP Address Ping Failure,2G cell down,0.05,0.17659574468085107,0.7039104675992284,0.0,0.8810943172338047,0.3435845389772568
Cell Outage,Pas De Supervision,0.0586,0.20709219858156028,0.5803548020812349,0.0,0.3485758253119927,0.25119421364567
3G PS Call Setup Success Rate,3G cell down,0.0182,0.06382978723404255,0.7008314186541365,0.0,0.46575929741329053,0.2355620932364379
3G CS Call Drop Rate,3G cell down,0.014,0.04893617021276595,0.7008314186541365,0.0,0.47642247791830994,0.23120412350368014
RF Unit Maintenance Link Failure,4G cell down,0.047,0.16595744680851063,0.33708246727838304,0.0,0.6382414366526031,0.22953568767697133
SCTP Link Fault,LOSS-OF-ALL CHANNEL,0.084,0.29716312056737587,0.21943065592543798,0.0,0.36779268983394287,0.2179202828871294
3G PS Call Setup Success Rate,LOSS-OF-ALL CHANNEL,0.005,0.01702127659574468,0.7008314186541365,0.0,0.46575929741329053,0.21683868898111874
3G CS Call Drop Rate,LOSS-OF-ALL CHANNEL,0.0032,0.010638297872340425,0.7008314186541365,0.0,0.47642247791830994,0.21588497456750994
SCTP Link Fault,2G cell down,0.0712,0.25177304964539005,0.21943065592543798,0.0,0.36779268983394287,0.19976425451833504
Local Cell Unusable,4G cell down,0.0334,0.1177304964539007,0.33708246727838304,0.0,0.5418557441327415,0.19578705365714813
RF Unit Maintenance Link Failure,2G cell down,0.0208,0.07304964539007092,0.33708246727838304,0.0,0.6382414366526031,0.19237256710959544
UMTS Cell MC-HSDPA Function Fault,3G cell down,0.098,0.3468085106382978,0.06815345660265437,0.0,0.14671582551479068,0.1743614694030686
Commercial Power Down (Main Power Down),2G cell down,0.0472,0.16666666666666666,0.1950724384390336,0.0,0.4563918504385876,0.17413993192026153
RF Unit Maintenance Link Failure,3G cell down,0.0044,0.014893617021276596,0.33708246727838304,0.0,0.6382414366526031,0.16911015576207772
RF Unit Maintenance Link Failure,LOSS-OF-ALL CHANNEL,0.0024,0.00780141843971631,0.33708246727838304,0.0,0.6382414366526031,0.1662732763294536
Parallel Alarm Exceeds the Limit,Pas De Supervision,0.0344,0.12127659574468085,0.39861727623764315,0.0,0.2525551307483811,0.16611736315765813
Local Cell Unusable,2G cell down,0.002,0.006382978723404254,0.33708246727838304,0.0,0.5418557441327415,0.15124804656494956
X2 Interface Fault,4G cell down,0.0222,0.07801418439716312,0.23292826375067952,0.0,0.4219794424753945,0.14108824288031033
GTPC Tunnel Path Broken,LOSS-OF-ALL CHANNEL,0.0412,0.1453900709219858,0.149988953026492,0.0,0.34216418841326485,0.13947844723608246
SCTP Link Fault,4G cell down,0.0256,0.09007092198581561,0.21943065592543798,0.0,0.36779268983394287,0.13508340345450526
User Plane Fault,4G cell down,0.0198,0.06950354609929078,0.23292826375067952,0.0,0.38088532846965073,0.13151987046029984
Commercial Power Down (Main Power Down),LOSS-OF-ALL CHANNEL,0.017,0.059574468085106386,0.1950724384390336,0.0,0.4563918504385876,0.1313030524876374
Air Cond. Alarm,2G cell down,0.0222,0.07801418439716312,0.1950724384390336,0.0,0.39168901140113643,0.12897351315684244
GTPU Tunnel Path Broken,LOSS-OF-ALL CHANNEL,0.0258,0.09078014184397162,0.162181768621047,0.0,0.39210009801688145,0.12756342516433028
Commercial Power Down (Main Power Down),3G cell down,0.0126,0.04397163120567375,0.1950724384390336,0.0,0.4563918504385876,0.12506191773586436
