Alarmname,Weighted_In_Degree,Weighted_Out_Degree,RCF_Score
Board Not Securely Installed,0,5,0.9999980000040001
Very high temperature (40?),0,2,0.9999950000249999
Niveau Gasoil Bas,0,1,0.9999900000999989
MAC Excessive Frame Error Rate,0,1,0.9999900000999989
Cell Reconfiguration Failed,0,1,0.9999900000999989
Board in Wrong Slot,0,1,0.9999900000999989
Cmerciel Power Down,0,1,0.9999900000999989
Power Module Abnormal,0,1,0.9999900000999989
Trial Operation of License,4,18,0.6363633471075695
Invalid Packets Exceeding Alarm,1,3,0.49999875000312505
Exceeded Failures of Logins by the Local User,1,3,0.49999875000312505
gNodeB Out of Service,5,12,0.41176446366796254
License on Trial,27,54,0.33333329218107505
Ambient Temperature Abnormal,2,4,0.33333277777870374
License Control Item Expired,1,2,0.3333322222259259
eNodeB S1 Control Plane Transmission Interruption,211,410,0.3204508805080374
RF Unit Hardware Fault,42,80,0.31147538430529637
RF Unit Power Connector Abnormal,4,7,0.2727270247936138
RF Unit AC Input Power Failure,61,104,0.26060604481175487
Door status alarm PS,52,87,0.251798543036076
License Data Loss,67,112,0.251396634000188
Fire alarm,5,8,0.23076905325457442
Configuration Inconsistency in TAIs on the MME and eNodeB,5,8,0.23076905325457442
Very high temperature,15,23,0.2105262603878262
Commercial power down,34,51,0.199999976470591
TCU fault alarm port HAU fan TEC fault,16,24,0.19999995000001247
Board Input Voltage Out of Range,6,9,0.19999986666675557
gNodeB X2 Interface Fault,2,3,0.19999960000080003
Base Station Frame Number Synchronization Error,2,3,0.19999960000080003
License On Trial,2,3,0.19999960000080003
RF Unit Clock Problem,101,149,0.1919999923200003
DC output under voltage alarm,38,56,0.19148934133092113
Door Status alarm (PS),28,41,0.18840576979626525
Board Clock Input Unavailable,11,16,0.18518511659810497
RF Unit Optical Module Fault,17,24,0.17073166567520348
No License Running in System,45,63,0.16666665123456934
Commercial Power Down,25,35,0.16666663888889352
SDH/SONET Loss of Signal,15,21,0.1666666203703832
System Clock Unlocked,5,7,0.16666652777789354
GE working,5,7,0.16666652777789354
RHUB Unit AC Input Power Failure,34,47,0.16049380734644353
Data Configuration Exceeding Licensed Limit,263,361,0.15705127953443462
BBU Board Maintenance Link Failure,253,347,0.1566666640555556
RF Unit Temperature Unacceptable,470,632,0.14700544331211032
Board Temperature Unacceptable,404,541,0.14497354343943342
Board Blocked,3,4,0.14285693877580175
Battery Deep Discharge,3,4,0.14285693877580175
IP Path Blocked,3,4,0.14285693877580175
M3UA Link Fault,3,4,0.14285693877580175
RF Unit CPRI Interface Error,107,136,0.11934155887483297
Ambient Humidity Abnormal,38,48,0.11627905624662137
NodeB Blocked,4,5,0.11111098765445816
Transmission Optical Module Fault,4,5,0.11111098765445816
Battery discharge Fault,4,5,0.11111098765445816
Burglar Alarm,540,669,0.10669975097849668
Path Configuration Error,105,130,0.10638297419646918
S1 Interface Fault,21,26,0.10638295608873274
Rectifier fault alarm,22,27,0.10204079550187846
Ethernet Link Fault,31,38,0.10144926065952743
Transmission Optical Interface Error,18,22,0.09999997500000624
BBU DC Output Out of Range,236,286,0.09578543877805673
RF Unit Baseband Running Error,44,53,0.09278349558933034
RAB abnormal release,209,251,0.09130434584120987
Transmission Optical Module Not In Position,5,6,0.09090900826453795
GNSS Clock Output Unavailable,5,6,0.09090900826453795
Main Power Down,21,25,0.08695650283554286
3G CS Call Setup Success Rate,174,207,0.08661417095500865
Base Station DC Power Supply Abnormal,2806,3324,0.08450244684420483
BBU CPRI Interface Error,1921,2269,0.08305489240321029
Board Powered Off,492,579,0.08123249223872557
RF Unit Working Mode and Board Capability Mismatch,71,83,0.07792207286220305
Synchronization Time Information Resource Unavailable Alarm,6,7,0.07692301775152481
Abnormal Cabinet Input Voltage,6,7,0.07692301775152481
RAT Conflict between separate-MPT Boards,275,320,0.07563025082974369
Inter-Board Service Link Failure,640,743,0.07447577675722504
Cell PCI Conflict,232,269,0.07385229393508395
Board Unavailable,7,8,0.06666662222225185
SDH/SONET Tributary Alarm Indication Signal,2270,2587,0.06526662535460856
Excessive License Usage,22,25,0.06382977365323965
eNodeB ID Repetition,67,76,0.06293705853587003
