Alarmsource,total_alarms,hs_count,unique_alarms,hs_rate,unique_hs_types,risk_score
ROR03,54793,19102,105,0.3486211742375851,6,0.8369156997250229
RAL03,44266,10984,61,0.2481362671124565,6,0.5849609317744164
RCN03,28640,9589,83,0.3348114525139665,6,0.5824868003800701
Annaba RNC,106206,13485,24,0.12697022767075306,3,0.5028391494650899
RLI03,74794,9154,80,0.12238949648367516,6,0.4876750438298711
UNC02_Annaba,7496,5726,22,0.7638740661686233,1,0.483212927093149
OSS,111119,14461,43,0.13013976007703454,1,0.462964331905099
UNC02_Tlemcen,10348,5394,19,0.5212601468882876,1,0.37923978584168594
BA06H,641,398,21,0.6209048361934477,3,0.35426875199934194
BA02H,893,529,32,0.5923852183650616,3,0.34649706324804275
USN9810_Annaba,38593,8578,19,0.2222682869950509,1,0.34515730802180167
BSK2H,8227,3310,77,0.40233377902029904,3,0.34465065623573843
RJL01,3731,1798,24,0.4819083355668721,3,0.3363253535806725
BA11H,842,448,34,0.5320665083135392,3,0.32068760424378
BA03H,1095,570,35,0.5205479452054794,3,0.31935724548047106
Mostaganem RNC,54008,6252,22,0.11576062805510295,3,0.30911102349924613
BA05H,586,279,35,0.4761092150170648,3,0.2942876020589179
BA07H,1817,769,55,0.4232250963126032,3,0.2863440454399372
USN9810_Blida,26994,6020,23,0.22301252130102986,1,0.27849325515237744
Rouiba RNC 2,52947,5207,29,0.09834362664551344,3,0.2749176025685978
RCL02,14205,1269,71,0.08933474128827877,6,0.26830128723197477
MBTS_A16X1067,470,153,30,0.32553191489361705,4,0.2651858914992463
MBTS_O31X004_Place 1er Novembre_Acc,3607,1697,22,0.4704740781813141,1,0.26252435282766556
BGL1H,7161,2370,68,0.33095936321742775,2,0.2586813458867356
Rouiba RNC,39864,4258,54,0.10681316476018463,3,0.25340355486238186
