feature,mean_shap
hs_rate_5m,0.4436085
n_hs_5m,0.38453174
hs_rate_60m,0.37774667
n_total_60m,0.29982534
month,0.2964093
hs_rate_30m,0.24225199
day_of_week,0.19359
n_unique_5m,0.16770765
prec_SCTP_Link_Fault_60m,0.12378002
hour,0.114244685
is_weekend,0.10182303
prec_UMTS_Cell_MC-HSDPA_Function_Fa_60m,0.08922983
n_total_5m,0.070896156
n_unique_60m,0.069421135
n_total_15m,0.05761763
prec_Adjacent_Node_IP_Address_Ping__5m,0.05571229
is_night,0.053717043
n_total_30m,0.04512145
n_hs_30m,0.041113686
prec_SCTP_Link_Fault_5m,0.029479899
