alarm_1,alarm_2,lag,correlation,abs_corr
Adjacent Node IP Address Ping Failure,Cell Blocked,-12,0.0254214169017516,0.0254214169017516
Adjacent Node IP Address Ping Failure,Cell Blocked,-11,0.02366684743331562,0.02366684743331562
Adjacent Node IP Address Ping Failure,Cell Blocked,-10,0.04020239845439916,0.04020239845439916
Adjacent Node IP Address Ping Failure,Cell Blocked,-9,0.03277599596759095,0.03277599596759095
Adjacent Node IP Address Ping Failure,Cell Blocked,-8,0.050330627557879384,0.050330627557879384
Adjacent Node IP Address Ping Failure,Cell Blocked,-7,0.06221406745707328,0.06221406745707328
Adjacent Node IP Address Ping Failure,Cell Blocked,-6,0.06335598400439438,0.06335598400439438
Adjacent Node IP Address Ping Failure,Cell Blocked,-5,0.06771455907936613,0.06771455907936613
Adjacent Node IP Address Ping Failure,Cell Blocked,-4,0.07936921954781924,0.07936921954781924
Adjacent Node IP Address Ping Failure,Cell Blocked,-3,0.08231220536238519,0.08231220536238519
Adjacent Node IP Address Ping Failure,Cell Blocked,-2,0.09369649899063537,0.09369649899063537
Adjacent Node IP Address Ping Failure,Cell Blocked,-1,0.10537764932742665,0.10537764932742665
Adjacent Node IP Address Ping Failure,Cell Blocked,0,0.10103629629762054,0.10103629629762054
Adjacent Node IP Address Ping Failure,Cell Blocked,1,0.07549756304376072,0.07549756304376072
Adjacent Node IP Address Ping Failure,Cell Blocked,2,0.07200542529889081,0.07200542529889081
Adjacent Node IP Address Ping Failure,Cell Blocked,3,0.05774014843023062,0.05774014843023062
Adjacent Node IP Address Ping Failure,Cell Blocked,4,0.04950073142211613,0.04950073142211613
Adjacent Node IP Address Ping Failure,Cell Blocked,5,0.06102181919016338,0.06102181919016338
Adjacent Node IP Address Ping Failure,Cell Blocked,6,0.04402653718569848,0.04402653718569848
Adjacent Node IP Address Ping Failure,Cell Blocked,7,0.03504981813328814,0.03504981813328814
Adjacent Node IP Address Ping Failure,Cell Blocked,8,0.056600401603867485,0.056600401603867485
Adjacent Node IP Address Ping Failure,Cell Blocked,9,0.02898018485750834,0.02898018485750834
Adjacent Node IP Address Ping Failure,Cell Blocked,10,0.03423683092142077,0.03423683092142077
Adjacent Node IP Address Ping Failure,Cell Blocked,11,0.04881550222841508,0.04881550222841508
Adjacent Node IP Address Ping Failure,Cell Blocked,12,0.016730592714484873,0.016730592714484873
Adjacent Node IP Address Ping Failure,Cell Outage,-12,0.09321723178061347,0.09321723178061347
Adjacent Node IP Address Ping Failure,Cell Outage,-11,0.09971134749427997,0.09971134749427997
Adjacent Node IP Address Ping Failure,Cell Outage,-10,0.12073575031642887,0.12073575031642887
Adjacent Node IP Address Ping Failure,Cell Outage,-9,0.10250251539031092,0.10250251539031092
Adjacent Node IP Address Ping Failure,Cell Outage,-8,0.1088956503507529,0.1088956503507529
Adjacent Node IP Address Ping Failure,Cell Outage,-7,0.09937699856964151,0.09937699856964151
Adjacent Node IP Address Ping Failure,Cell Outage,-6,0.09015815914964728,0.09015815914964728
Adjacent Node IP Address Ping Failure,Cell Outage,-5,0.09900302372877962,0.09900302372877962
Adjacent Node IP Address Ping Failure,Cell Outage,-4,0.09999341083325944,0.09999341083325944
Adjacent Node IP Address Ping Failure,Cell Outage,-3,0.11540377741486342,0.11540377741486342
Adjacent Node IP Address Ping Failure,Cell Outage,-2,0.11725579066681313,0.11725579066681313
Adjacent Node IP Address Ping Failure,Cell Outage,-1,0.13863503582865147,0.13863503582865147
Adjacent Node IP Address Ping Failure,Cell Outage,0,0.4540854185620179,0.4540854185620179
Adjacent Node IP Address Ping Failure,Cell Outage,1,0.14644879228550675,0.14644879228550675
Adjacent Node IP Address Ping Failure,Cell Outage,2,0.11537206962133402,0.11537206962133402
Adjacent Node IP Address Ping Failure,Cell Outage,3,0.12098045023412796,0.12098045023412796
Adjacent Node IP Address Ping Failure,Cell Outage,4,0.0989545786728824,0.0989545786728824
Adjacent Node IP Address Ping Failure,Cell Outage,5,0.08472975790423665,0.08472975790423665
Adjacent Node IP Address Ping Failure,Cell Outage,6,0.06648590704628686,0.06648590704628686
Adjacent Node IP Address Ping Failure,Cell Outage,7,0.06186576630183317,0.06186576630183317
Adjacent Node IP Address Ping Failure,Cell Outage,8,0.06603476281657,0.06603476281657
Adjacent Node IP Address Ping Failure,Cell Outage,9,0.06802003507721747,0.06802003507721747
Adjacent Node IP Address Ping Failure,Cell Outage,10,0.08980388838088296,0.08980388838088296
Adjacent Node IP Address Ping Failure,Cell Outage,11,0.07679267138977049,0.07679267138977049
Adjacent Node IP Address Ping Failure,Cell Outage,12,0.08717531901196111,0.08717531901196111
